ID de la orden;Fecha de la compra;ID del cliente;Género del cliente;Edad del cliente;Categoría del producto;Nombre del producto;Precio del producto;Cantidad comprada;Total de la orden;Método de pago;Región de envío
10046;2025-07-21;2799;;;Accesorios;Bolso de mano;63.06;2;126.12;Contra entrega;Ciudad
10047;2025-02-25;2746;;;Camisetas;Camiseta básica;169.36;2;338.72;Contra entrega;Oriente
10048;2025-02-06;1948;;;Chaquetas;Abrigo;153.09;2;306.18;Contra entrega;Norte
10049;2025-05-27;1170;;;Zapatos;Zapatillas deportivas;181.93;4;727.72;Transferencia;Sur
10050;2025-03-25;1785;;;Chaquetas;Abrigo;53.07;5;265.35;Tarjeta de crédito;Occidente
10051;2025-02-05;2876;;;Camisetas;Camiseta deportiva;29.98;1;29.98;Efectivo;Norte
10052;2025-05-09;2357;;;Zapatos;Sandalias;69.52;3;208.56;Transferencia;Occidente
10053;2025-03-19;2049;;;Pantalones;Jogger;51.7;3;155.1;Tarjeta de crédito;Occidente
10054;2025-06-12;2739;;;Zapatos;Zapatos de vestir;24.3;3;72.9;Tarjeta de crédito;Oriente
10055;2025-03-09;1445;;;Zapatos;Zapatillas deportivas;145.59;5;727.95;Contra entrega;Occidente
10056;2025-08-09;1964;;;Vestidos;Vestido casual;22.17;3;66.51;Tarjeta de crédito;Sur
10057;2025-07-03;1757;;;Accesorios;Bolso de mano;113.99;5;569.95;Efectivo;Occidente
10058;2025-05-15;2730;;;Zapatos;Zapatos de vestir;134.08;1;134.08;Transferencia;Sur
10059;2025-05-13;1003;;;Chaquetas;Abrigo;149.27;2;298.54;Tarjeta de débito;Sur
10060;2025-01-07;2450;;;Zapatos;Zapatillas deportivas;74.52;3;223.56;Tarjeta de crédito;Norte
10061;2025-06-03;1665;;;Chaquetas;Chaqueta deportiva;164.07;4;656.28;Transferencia;Oriente
10062;2025-05-14;2232;;;Camisetas;Camiseta básica;33.08;5;165.4;Tarjeta de crédito;Oriente
10063;2025-06-08;2567;;;Chaquetas;Chaqueta deportiva;58.93;5;294.65;Contra entrega;Ciudad
10064;2025-07-01;1615;;;Camisetas;Camiseta básica;186.63;3;559.89;Transferencia;Oriente
10065;2025-06-21;1274;;;Accesorios;Gorra;48.94;1;48.94;Tarjeta de crédito;Oriente
10066;2025-07-01;2315;;;Vestidos;Vestido de fiesta;166.51;4;666.04;Contra entrega;Oriente
10067;2025-05-17;2940;;;Accesorios;Reloj;47.12;3;141.36;Contra entrega;Oriente
10068;2025-01-14;2210;;;Chaquetas;Chaqueta de cuero;135.37;4;541.48;Contra entrega;Norte
10069;2025-03-13;1899;;;Chaquetas;Chaqueta de cuero;123.09;1;123.09;Tarjeta de crédito;Ciudad
10070;2025-08-23;2356;;;Camisetas;Camiseta básica;72.77;3;218.31;Tarjeta de crédito;Norte
10071;2025-03-05;2076;;;Zapatos;Zapatos de vestir;99.73;2;199.46;Efectivo;Ciudad
10072;2025-01-10;1000;;;Pantalones;Jeans slim;129.9;5;649.5;Transferencia;Ciudad
10073;2025-01-13;1552;;;Camisetas;Camiseta deportiva;95.48;1;95.48;Tarjeta de crédito;Ciudad
10074;2025-05-12;2199;;;Chaquetas;Chaqueta deportiva;196.62;5;983.1;Transferencia;Sur
10075;2025-02-27;1218;;;Pantalones;Jogger;132.09;5;660.45;Tarjeta de débito;Oriente
10076;2025-02-16;2722;;;Chaquetas;Chaqueta de cuero;139.75;5;698.75;Transferencia;Norte
10077;2025-01-13;1168;;;Pantalones;Jogger;56.3;5;281.5;Transferencia;Ciudad
10078;2025-07-10;2295;;;Accesorios;Reloj;96.56;3;289.68;Efectivo;Occidente
10079;2025-04-08;2738;;;Pantalones;Jeans slim;76.21;2;152.42;Tarjeta de crédito;Occidente
10080;2025-03-25;2501;;;Camisetas;Camiseta básica;124.35;4;497.4;Tarjeta de crédito;Oriente
10081;2025-04-16;1371;;;Vestidos;Vestido de fiesta;75.32;1;75.32;Tarjeta de débito;Oriente
10082;2025-03-14;2830;;;Accesorios;Reloj;170.94;3;512.82;Tarjeta de débito;Oriente
10083;2025-06-23;1081;;;Accesorios;Gorra;67.48;4;269.92;Contra entrega;Occidente
10084;2025-01-23;1307;;;Chaquetas;Chaqueta de cuero;139.79;2;279.58;Contra entrega;Norte
10085;2025-05-05;2409;;;Pantalones;Pantalón formal;112.51;1;112.51;Tarjeta de crédito;Oriente
10086;2025-02-02;2143;;;Camisetas;Camiseta deportiva;108.78;4;435.12;Tarjeta de crédito;Norte
10087;2025-03-18;2063;;;Vestidos;Vestido de verano;78.09;5;390.45;Tarjeta de crédito;Ciudad
10088;2025-04-10;1716;;;Pantalones;Jogger;175.46;5;877.3;Contra entrega;Oriente
10089;2025-05-25;2408;;;Camisetas;Camiseta básica;58.93;1;58.93;Tarjeta de crédito;Ciudad
10090;2025-02-08;2136;;;Pantalones;Jogger;186.93;5;934.65;Contra entrega;Oriente
10091;2025-06-17;1039;;;Accesorios;Reloj;163.94;3;491.82;Tarjeta de débito;Occidente
10092;2025-04-06;2638;;;Accesorios;Bolso de mano;130.28;1;130.28;Efectivo;Ciudad
10093;2025-07-21;2917;;;Pantalones;Pantalón formal;80.7;3;242.1;Efectivo;Norte
10094;2025-07-01;2272;;;Pantalones;Jogger;192.21;1;192.21;Transferencia;Occidente
10095;2025-03-20;2120;;;Vestidos;Vestido de fiesta;182.25;3;546.75;Tarjeta de débito;Norte
10096;2025-07-15;2148;;;Accesorios;Reloj;40.2;1;40.2;Tarjeta de crédito;Sur
10097;2025-05-13;2548;;;Chaquetas;Chaqueta deportiva;10.77;4;43.08;Transferencia;Ciudad
10098;2025-01-02;2657;;;Zapatos;Sandalias;170.86;5;854.3;Tarjeta de crédito;Occidente
10099;2025-01-22;2892;;;Zapatos;Zapatos de vestir;171.5;5;857.5;Transferencia;Oriente
10100;2025-03-02;2483;;;Camisetas;Camiseta estampada;71.35;4;285.4;Tarjeta de crédito;Ciudad
10101;2025-05-11;1694;;;Zapatos;Zapatillas deportivas;110.83;2;221.66;Tarjeta de crédito;Occidente
10102;2025-05-27;2741;;;Vestidos;Vestido casual;79.23;4;316.92;Tarjeta de crédito;Norte
10103;2025-03-05;1794;;;Pantalones;Jeans slim;45.98;2;91.96;Tarjeta de crédito;Sur
10104;2025-08-28;2821;;;Accesorios;Bolso de mano;89.08;3;267.24;Contra entrega;Sur
10105;2025-05-20;2090;;;Accesorios;Reloj;142.91;4;571.64;Transferencia;Occidente
10106;2025-03-11;1538;;;Vestidos;Vestido casual;173.85;5;869.25;Tarjeta de crédito;Sur
10107;2025-04-23;2288;;;Pantalones;Jogger;55.01;1;55.01;Tarjeta de débito;Oriente
10108;2025-04-17;1176;;;Chaquetas;Chaqueta de cuero;23.48;4;93.92;Tarjeta de crédito;Occidente
10109;2025-07-26;1058;;;Vestidos;Vestido casual;146.13;2;292.26;Tarjeta de débito;Occidente
10110;2025-01-13;1410;;;Vestidos;Vestido de verano;122.83;4;491.32;Tarjeta de crédito;Ciudad
10111;2025-08-24;1350;;;Pantalones;Jogger;149.23;2;298.46;Contra entrega;Ciudad
10112;2025-01-18;1541;;;Camisetas;Camiseta deportiva;59.13;3;177.39;Transferencia;Sur
10113;2025-05-26;2640;;;Pantalones;Jeans slim;181.33;4;725.32;Tarjeta de crédito;Ciudad
10114;2025-04-05;2338;;;Chaquetas;Chaqueta deportiva;79.71;1;79.71;Efectivo;Norte
10115;2025-08-10;1611;;;Pantalones;Jogger;140.44;4;561.76;Tarjeta de crédito;Occidente
10116;2025-05-01;2451;;;Chaquetas;Chaqueta de cuero;175.54;3;526.62;Transferencia;Norte
10117;2025-03-24;1673;;;Zapatos;Zapatillas deportivas;152.99;1;152.99;Efectivo;Occidente
10118;2025-03-12;1653;;;Pantalones;Jogger;40.29;3;120.87;Tarjeta de crédito;Oriente
10119;2025-04-20;2916;;;Accesorios;Bolso de mano;89.66;5;448.3;Transferencia;Sur
10120;2025-06-12;1751;;;Accesorios;Gorra;133.35;3;400.05;Tarjeta de crédito;Sur
10121;2025-01-01;2729;;;Zapatos;Zapatos de vestir;23.03;1;23.03;Efectivo;Ciudad
10122;2025-07-09;1930;;;Accesorios;Reloj;186.03;2;372.06;Tarjeta de crédito;Ciudad
10123;2025-04-02;2971;;;Accesorios;Bolso de mano;190.01;2;380.02;Tarjeta de débito;Sur
10124;2025-08-03;1619;;;Accesorios;Gorra;71.31;1;71.31;Contra entrega;Oriente
10125;2025-03-11;1700;;;Camisetas;Camiseta deportiva;40.97;1;40.97;Tarjeta de débito;Occidente
10126;2025-08-18;1055;;;Vestidos;Vestido casual;119.53;3;358.59;Tarjeta de crédito;Norte
10127;2025-07-08;2485;;;Chaquetas;Chaqueta deportiva;197.76;3;593.28;Tarjeta de débito;Sur
10128;2025-01-18;2903;;;Vestidos;Vestido casual;126.81;2;253.62;Transferencia;Sur
10129;2025-01-07;2951;;;Pantalones;Pantalón formal;92.45;2;184.9;Contra entrega;Ciudad
10130;2025-08-15;2476;;;Camisetas;Camiseta básica;183.08;5;915.4;Tarjeta de crédito;Ciudad
10131;2025-08-27;1452;;;Zapatos;Sandalias;40.81;4;163.24;Efectivo;Sur
10132;2025-05-16;1550;;;Zapatos;Zapatos de vestir;17.64;2;35.28;Transferencia;Ciudad
10133;2025-06-12;1976;;;Pantalones;Jeans slim;156.64;3;469.92;Transferencia;Sur
10134;2025-08-21;1051;;;Pantalones;Pantalón formal;160.36;4;641.44;Contra entrega;Occidente
10135;2025-04-06;2933;;;Camisetas;Camiseta estampada;63.77;1;63.77;Transferencia;Occidente
10136;2025-03-22;2909;;;Zapatos;Sandalias;114.13;1;114.13;Efectivo;Sur
10137;2025-04-02;1861;;;Pantalones;Jeans slim;163.05;3;489.15;Transferencia;Occidente
10138;2025-04-10;1338;;;Vestidos;Vestido de verano;82.6;4;330.4;Transferencia;Sur
10139;2025-07-04;1380;;;Vestidos;Vestido de verano;169.82;3;509.46;Transferencia;Oriente
10140;2025-02-17;2776;;;Accesorios;Reloj;112.91;2;225.82;Tarjeta de débito;Occidente
10141;2025-07-20;2591;;;Camisetas;Camiseta deportiva;93.06;1;93.06;Tarjeta de crédito;Occidente
10142;2025-02-02;2499;;;Accesorios;Bolso de mano;76.61;2;153.22;Transferencia;Ciudad
10143;2025-05-09;1968;;;Chaquetas;Chaqueta de cuero;97.25;5;486.25;Tarjeta de crédito;Ciudad
10144;2025-01-19;1334;;;Accesorios;Bolso de mano;137.96;1;137.96;Contra entrega;Sur
10145;2025-03-02;2549;;;Chaquetas;Chaqueta de cuero;62.9;4;251.6;Tarjeta de crédito;Occidente
10146;2025-05-07;1411;;;Zapatos;Sandalias;61;3;183;Transferencia;Norte
10147;2025-06-20;1176;;;Accesorios;Bolso de mano;28.75;4;115;Tarjeta de crédito;Oriente
10148;2025-08-03;1230;;;Vestidos;Vestido de verano;193.63;4;774.52;Tarjeta de débito;Ciudad
10149;2025-06-05;1058;;;Camisetas;Camiseta básica;96.22;4;384.88;Transferencia;Norte
10150;2025-06-20;1690;;;Pantalones;Jeans slim;141.92;2;283.84;Tarjeta de crédito;Ciudad
10151;2025-02-01;2012;;;Zapatos;Zapatillas deportivas;121.08;1;121.08;Tarjeta de crédito;Norte
10152;2025-04-24;1621;;;Chaquetas;Abrigo;149.44;1;149.44;Contra entrega;Occidente
10153;2025-01-23;2378;;;Chaquetas;Abrigo;71.59;4;286.36;Tarjeta de crédito;Oriente
10154;2025-07-14;1837;;;Camisetas;Camiseta estampada;131.62;1;131.62;Tarjeta de crédito;Oriente
10155;2025-08-25;1361;;;Pantalones;Jogger;55.36;3;166.08;Tarjeta de crédito;Occidente
10156;2025-04-15;1408;;;Chaquetas;Chaqueta deportiva;93.15;3;279.45;Contra entrega;Norte
10157;2025-02-01;2844;;;Accesorios;Reloj;36.07;4;144.28;Tarjeta de crédito;Occidente
10158;2025-07-26;2819;;;Pantalones;Jeans slim;62.06;5;310.3;Contra entrega;Oriente
10159;2025-05-01;1109;;;Camisetas;Camiseta estampada;28.94;1;28.94;Tarjeta de crédito;Occidente
10160;2025-07-10;1658;;;Pantalones;Jeans slim;108.12;3;324.36;Tarjeta de crédito;Ciudad
10161;2025-05-27;1227;;;Vestidos;Vestido de verano;192.43;4;769.72;Efectivo;Sur
10162;2025-03-02;2782;;;Vestidos;Vestido de fiesta;197.94;5;989.7;Tarjeta de débito;Oriente
10163;2025-04-26;2917;;;Pantalones;Pantalón formal;117.13;2;234.26;Tarjeta de crédito;Oriente
10164;2025-06-04;2854;;;Vestidos;Vestido casual;88.08;1;88.08;Tarjeta de crédito;Ciudad
10165;2025-01-02;2918;;;Vestidos;Vestido casual;41.93;3;125.79;Efectivo;Oriente
10166;2025-03-23;1542;;;Zapatos;Zapatos de vestir;99.79;3;299.37;Tarjeta de crédito;Sur
10167;2025-07-08;2614;;;Accesorios;Bolso de mano;138.48;2;276.96;Tarjeta de débito;Occidente
10168;2025-08-21;1897;;;Accesorios;Reloj;30.07;1;30.07;Efectivo;Sur
10169;2025-01-03;1983;;;Vestidos;Vestido casual;182.28;2;364.56;Transferencia;Ciudad
10170;2025-05-27;2703;;;Camisetas;Camiseta estampada;104.94;3;314.82;Contra entrega;Sur
10171;2025-07-24;2559;;;Zapatos;Sandalias;128.56;4;514.24;Efectivo;Sur
10172;2025-04-24;1271;;;Pantalones;Jogger;69.14;1;69.14;Tarjeta de crédito;Ciudad
10173;2025-07-14;2057;;;Chaquetas;Chaqueta deportiva;47.57;5;237.85;Tarjeta de crédito;Occidente
10174;2025-04-20;1355;;;Camisetas;Camiseta básica;74.34;1;74.34;Tarjeta de débito;Sur
10175;2025-05-21;2765;;;Vestidos;Vestido de fiesta;59.41;1;59.41;Tarjeta de débito;Sur
10176;2025-03-17;1485;;;Chaquetas;Chaqueta deportiva;156.27;2;312.54;Transferencia;Occidente
10177;2025-01-16;1929;;;Accesorios;Reloj;126.73;1;126.73;Contra entrega;Oriente
10178;2025-04-19;2959;;;Pantalones;Jeans slim;143.17;3;429.51;Efectivo;Occidente
10179;2025-08-08;2738;;;Pantalones;Jogger;25.16;2;50.32;Tarjeta de crédito;Ciudad
10180;2025-07-03;2199;;;Pantalones;Jogger;117.54;2;235.08;Tarjeta de débito;Norte
10181;2025-04-02;1609;;;Vestidos;Vestido de verano;110.24;1;110.24;Tarjeta de crédito;Ciudad
10182;2025-06-26;1100;;;Chaquetas;Chaqueta de cuero;66.41;2;132.82;Tarjeta de crédito;Norte
10183;2025-01-15;2487;;;Accesorios;Gorra;159.32;5;796.6;Tarjeta de crédito;Oriente
10184;2025-03-08;1304;;;Vestidos;Vestido casual;67.46;1;67.46;Tarjeta de crédito;Norte
10185;2025-07-09;2275;;;Accesorios;Reloj;27.46;2;54.92;Tarjeta de crédito;Oriente
10186;2025-02-01;1436;;;Camisetas;Camiseta deportiva;194.58;1;194.58;Tarjeta de débito;Norte
10187;2025-08-02;1719;;;Camisetas;Camiseta básica;26.76;3;80.28;Tarjeta de débito;Ciudad
10188;2025-04-12;2904;;;Camisetas;Camiseta básica;83.74;5;418.7;Tarjeta de crédito;Sur
10189;2025-02-28;1826;;;Accesorios;Bolso de mano;66.27;1;66.27;Tarjeta de crédito;Sur
10190;2025-01-14;1945;;;Accesorios;Reloj;89.83;5;449.15;Tarjeta de débito;Norte
10191;2025-07-24;2769;;;Vestidos;Vestido de fiesta;141.99;3;425.97;Contra entrega;Sur
10192;2025-07-20;1597;;;Pantalones;Pantalón formal;19.98;1;19.98;Tarjeta de débito;Oriente
10193;2025-02-28;2678;;;Chaquetas;Abrigo;76.53;4;306.12;Tarjeta de crédito;Sur
10194;2025-06-25;1709;;;Zapatos;Sandalias;156.14;5;780.7;Efectivo;Norte
10195;2025-01-24;2027;;;Zapatos;Sandalias;60.08;4;240.32;Transferencia;Sur
10196;2025-04-14;2914;;;Camisetas;Camiseta deportiva;94.01;4;376.04;Tarjeta de crédito;Norte
10197;2025-06-16;1022;;;Chaquetas;Abrigo;156.13;3;468.39;Transferencia;Sur
10198;2025-05-03;1254;;;Accesorios;Gorra;62.65;1;62.65;Contra entrega;Sur
10199;2025-06-23;2679;;;Camisetas;Camiseta deportiva;109.3;4;437.2;Tarjeta de crédito;Ciudad
10200;2025-02-14;1417;;;Pantalones;Jeans slim;63.1;1;63.1;Tarjeta de crédito;Ciudad
10201;2025-01-12;2008;;;Accesorios;Reloj;48.96;4;195.84;Tarjeta de débito;Sur
10202;2025-05-16;1678;;;Zapatos;Zapatos de vestir;120.94;3;362.82;Efectivo;Ciudad
10203;2025-04-15;2191;;;Zapatos;Zapatillas deportivas;54.11;2;108.22;Transferencia;Norte
10204;2025-07-13;2630;;;Zapatos;Sandalias;48.08;5;240.4;Transferencia;Norte
10205;2025-02-28;1772;;;Camisetas;Camiseta deportiva;57.35;3;172.05;Tarjeta de crédito;Ciudad
10206;2025-07-10;1342;;;Camisetas;Camiseta estampada;58.69;1;58.69;Transferencia;Sur
10207;2025-05-06;1434;;;Zapatos;Sandalias;39.74;5;198.7;Contra entrega;Sur
10208;2025-06-23;1978;;;Camisetas;Camiseta básica;68.48;1;68.48;Tarjeta de crédito;Ciudad
10209;2025-02-26;2896;;;Accesorios;Reloj;53.14;5;265.7;Tarjeta de débito;Oriente
10210;2025-08-09;2646;;;Camisetas;Camiseta básica;135.47;1;135.47;Tarjeta de crédito;Occidente
10211;2025-03-24;1245;;;Vestidos;Vestido de verano;190.85;5;954.25;Transferencia;Oriente
10212;2025-06-24;2382;;;Chaquetas;Abrigo;123.59;3;370.77;Contra entrega;Norte
10213;2025-02-21;2481;;;Chaquetas;Chaqueta de cuero;50.57;4;202.28;Transferencia;Occidente
10214;2025-05-03;1776;;;Accesorios;Reloj;155.75;2;311.5;Tarjeta de débito;Oriente
10215;2025-08-27;2728;;;Chaquetas;Chaqueta deportiva;186.05;4;744.2;Tarjeta de débito;Ciudad
10216;2025-03-14;1499;;;Zapatos;Sandalias;48.99;3;146.97;Contra entrega;Occidente
10217;2025-04-08;2949;;;Camisetas;Camiseta estampada;74.98;1;74.98;Contra entrega;Ciudad
10218;2025-06-18;2455;;;Chaquetas;Abrigo;171.91;1;171.91;Contra entrega;Occidente
10219;2025-04-12;1993;;;Accesorios;Bolso de mano;54.96;5;274.8;Tarjeta de débito;Occidente
10220;2025-03-08;1111;;;Chaquetas;Chaqueta de cuero;65.81;2;131.62;Tarjeta de débito;Occidente
10221;2025-05-22;2901;;;Zapatos;Sandalias;178.57;5;892.85;Tarjeta de débito;Oriente
10222;2025-01-17;2627;;;Camisetas;Camiseta deportiva;15.59;1;15.59;Contra entrega;Occidente
10223;2025-04-18;1144;;;Chaquetas;Chaqueta deportiva;67.99;2;135.98;Tarjeta de débito;Sur
10224;2025-01-24;2718;;;Vestidos;Vestido de verano;127.15;2;254.3;Tarjeta de crédito;Oriente
10225;2025-04-24;2930;;;Accesorios;Reloj;117.96;1;117.96;Transferencia;Occidente
10226;2025-07-21;1309;;;Vestidos;Vestido de verano;49.32;4;197.28;Transferencia;Norte
10227;2025-04-10;2426;;;Camisetas;Camiseta estampada;164.89;2;329.78;Efectivo;Oriente
10228;2025-07-08;2883;;;Camisetas;Camiseta deportiva;38.06;5;190.3;Transferencia;Oriente
10229;2025-05-13;2118;;;Chaquetas;Chaqueta de cuero;179.71;5;898.55;Efectivo;Occidente
10230;2025-06-18;2087;;;Zapatos;Zapatillas deportivas;78.47;1;78.47;Efectivo;Ciudad
10231;2025-02-20;1009;;;Zapatos;Zapatillas deportivas;100.61;2;201.22;Contra entrega;Oriente
10232;2025-05-11;1802;;;Pantalones;Jogger;53.84;1;53.84;Tarjeta de crédito;Oriente
10233;2025-05-18;1644;;;Vestidos;Vestido casual;134.67;5;673.35;Tarjeta de crédito;Oriente
10234;2025-01-17;2703;;;Accesorios;Bolso de mano;146.88;1;146.88;Tarjeta de crédito;Sur
10235;2025-02-17;1670;;;Camisetas;Camiseta básica;93.36;2;186.72;Tarjeta de crédito;Oriente
10236;2025-05-12;1793;;;Vestidos;Vestido de fiesta;80.19;3;240.57;Efectivo;Occidente
10237;2025-03-07;1005;;;Pantalones;Jogger;194.81;2;389.62;Tarjeta de crédito;Sur
10238;2025-03-04;2901;;;Chaquetas;Abrigo;103.83;5;519.15;Contra entrega;Norte
10239;2025-02-07;1235;;;Chaquetas;Chaqueta deportiva;21.59;2;43.18;Transferencia;Ciudad
10240;2025-08-19;2380;;;Zapatos;Sandalias;194.15;2;388.3;Transferencia;Norte
10241;2025-05-12;2652;;;Zapatos;Sandalias;178.01;5;890.05;Tarjeta de crédito;Oriente
10242;2025-08-03;1303;;;Zapatos;Sandalias;121.89;1;121.89;Transferencia;Norte
10243;2025-08-20;2159;;;Vestidos;Vestido de verano;105.8;3;317.4;Efectivo;Norte
10244;2025-02-03;1582;;;Zapatos;Zapatos de vestir;45.49;5;227.45;Tarjeta de crédito;Occidente
10245;2025-07-28;2401;;;Accesorios;Reloj;25.42;2;50.84;Tarjeta de crédito;Ciudad
10246;2025-02-22;2850;;;Chaquetas;Chaqueta deportiva;140.78;4;563.12;Tarjeta de crédito;Occidente
10247;2025-01-21;2286;;;Pantalones;Jeans slim;170.12;2;340.24;Transferencia;Norte
10248;2025-06-01;2645;;;Vestidos;Vestido de verano;161.36;2;322.72;Tarjeta de crédito;Ciudad
10249;2025-04-10;2267;;;Pantalones;Jogger;139.26;1;139.26;Tarjeta de débito;Occidente
10250;2025-03-23;1647;;;Zapatos;Zapatillas deportivas;17.79;4;71.16;Tarjeta de crédito;Ciudad
10251;2025-02-02;1331;;;Vestidos;Vestido de fiesta;160.55;4;642.2;Tarjeta de crédito;Ciudad
10252;2025-06-16;2122;;;Accesorios;Reloj;138.02;3;414.06;Tarjeta de crédito;Sur
10253;2025-02-21;1034;;;Chaquetas;Chaqueta de cuero;45.58;5;227.9;Transferencia;Occidente
10254;2025-06-11;1565;;;Pantalones;Jeans slim;116.93;2;233.86;Efectivo;Oriente
10255;2025-02-14;1468;;;Chaquetas;Abrigo;159.95;5;799.75;Tarjeta de débito;Norte
10256;2025-08-14;2030;;;Pantalones;Jogger;118.44;3;355.32;Transferencia;Ciudad
10257;2025-07-04;1806;;;Zapatos;Zapatos de vestir;28.76;1;28.76;Tarjeta de crédito;Sur
10258;2025-06-25;2418;;;Zapatos;Zapatos de vestir;165.03;1;165.03;Tarjeta de crédito;Ciudad
10259;2025-03-28;1121;;;Vestidos;Vestido casual;104.09;2;208.18;Tarjeta de crédito;Ciudad
10260;2025-06-15;2883;;;Accesorios;Gorra;178.96;4;715.84;Contra entrega;Norte
10261;2025-01-07;2158;;;Vestidos;Vestido casual;186.61;3;559.83;Transferencia;Occidente
10262;2025-02-06;1571;;;Vestidos;Vestido casual;60.5;4;242;Efectivo;Oriente
10263;2025-08-07;1188;;;Zapatos;Zapatillas deportivas;156.91;3;470.73;Efectivo;Occidente
